artist,album,track,overall_loudness,spectral_energy,dissonance,pitch_salience,bpm,beat_loudness,danceability,tuning_frequency,avg.valence,avg.arousal,aggressive,happy,party,relaxed,sad,acoustic,electric,instrumental,timbreBright,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
All Get Out,All Get Out,01 Coach Connor,-7.03639316559,0.0257356259972,0.47915160656,0.61285084486,129.939620972,0.0391025058925,1.07522654533,434.193115234,13.7944554,12.846363,1.31475726,0.014285873,1.9459376,0.70019137,1.5594126,0.159519993,1.7492729599999999,0.331542964,0.4727027,145,39.7,3.55,86.26,63.69,145,5.52,91.72,80,62.76,11.72,8.28,8.28,0,0,0,0,3.45,21.38,8.97,4.83,11.03,7.59,13.79,5.52,1.38,17.24,8.28,11.72,2.76,1.38,1.38,0,13.1,6.21,6.9,2.07,0.69,2.07,1.38,0,1.38,0.69,3.45,2.76,0,2.76,2.76,0,0,0,0,0.69,3.45,0.69,0,0,0,0,0,1.38,0,0.69,0,0,0,0,0,0,5.52,0,3.45,0.69,0.69,0.69,0.69,0,0,0,0,0,0,0,0,0,0.69,0.69,0,0,0,0,0,0,11.03,11.72,0,1.38,7.59,1.38,0,1.38,5.52,4.14,4.14,0.69,0,0,0,0,0,4.14,0,0.69,0,0,3.45,0,0
All Get Out,All Get Out,02 Come My Way,-6.46582698822,0.0233080033213,0.458598613739,0.588771522045,124.980262756,0.034157898277,0.875247657299,434.193115234,13.217936299999998,12.6467538,1.05633715,0.021440825,1.9707805,0.59129694,1.32447392,0.34225251,1.5512207,0.35028525,0.45991325,933,51.46,65.94,73.28,42.47,93.3,8.25,84.24,65.49,51.02,17.36,13.61,6.65,2.68,3.75,0.43,0.11,3.75,13.61,5.89,1.93,13.5,7.4,4.07,4.39,2.25,17.26,4.39,5.04,4.72,3.54,0.75,0.54,9.86,2.25,7.5,1.71,0.64,1.29,1.07,0.21,3.32,0.11,5.57,3.43,1.93,1.07,0.21,0.64,0.11,0.21,0.11,0,13.83,4.18,0.64,0.11,0.43,0,2.25,10.18,0.54,0.21,0.43,1.82,0.54,0.32,0,0.21,4.18,2.47,0.11,0.96,0.54,0.21,3,0.21,0.11,0.11,0,0,0,1.71,0.32,0.54,0.54,2.25,0.21,0,0,0.21,0.64,0.21,12.33,9.54,0.32,2.89,5.57,0.96,0.54,0.21,3.11,0.75,5.89,2.89,1.61,1.5,0.11,0,0,10.4,0.86,4.29,0.54,0.11,4.5,0.11,0
All Get Out,All Get Out,03 Water And God,-6.29206514359,0.0273292195052,0.465066760778,0.552960455418,129.961776733,0.0433040224016,1.04860365391,434.193115234,13.830535300000001,13.0783201,1.04418774,0.022895962000000002,1.8816745,0.82577783,1.3784741,0.285601595,1.64628104,0.57430528,0.44812214,157,19.24,29.47,99,99,157,14.01,97.45,75.8,52.87,14.01,9.55,6.37,3.18,0,0,0,4.46,12.74,5.1,1.91,11.46,11.46,7.01,9.55,2.55,22.93,9.55,9.55,7.64,6.37,1.27,0.64,16.56,4.46,12.1,3.18,1.91,1.91,3.18,0,2.55,0,10.19,8.28,0.64,3.18,1.91,0.64,0,0,0,0.64,11.46,4.46,2.55,0,0,0,0,7.01,0,2.55,0,0,0,0,0,0,4.46,1.27,1.91,0,0,1.27,3.82,0.64,0,0,0,0,0,0.64,0,0,0.64,2.55,0,1.27,0,0,0,0,15.29,13.38,0,4.46,7.64,0.64,0,1.27,12.1,0,11.46,2.55,1.91,0,0,1.91,0,9.55,0,1.91,0,0,7.64,0,0
All Get Out,All Get Out,04 Like A Child,-6.16123247147,0.0268864408135,0.470614880323,0.589540719986,117.984375,0.0445745401084,1.01910078526,434.193115234,13.7766721,12.9758936,1.06754273,0.025229619999999998,1.9314162000000001,0.74056171,1.52797167,0.160373326,1.7820263,0.48608445,0.45378417,159,43.04,75.68,76.01,59.71,79.5,5.03,93.08,74.21,54.09,15.09,8.81,2.52,0.63,5.66,0,0,6.29,13.21,5.66,1.89,14.47,7.55,5.66,8.18,2.52,22.01,6.92,2.52,2.52,1.26,0.63,0.63,13.84,0.63,12.58,5.03,0,1.89,1.89,0.63,3.14,0,7.55,5.03,2.52,3.77,1.89,1.89,0,0,1.26,0,13.84,3.14,0,0,0.63,0,1.26,8.18,0,0.63,0,0,0,0,0,0,0.63,0,0,0,0,0.63,5.66,0,0,0,0,0,0,0,0.63,0,0.63,1.26,0,0,0,0,0,0,13.21,11.95,0.63,2.52,6.29,1.26,0,1.89,4.4,3.77,5.66,1.26,0.63,0,0,0.63,0,6.29,1.89,0,0,0,4.4,0,0
All Get Out,All Get Out,05 The E.C.,-6.7304983139,0.0260996688157,0.474404126406,0.609368026257,84.9143676758,0.0502691008151,1.13355648518,434.193115234,13.5532198,13.004667099999999,1.3584714999999998,0.017776305,1.92336017,0.86919963,1.54127214,0.146938313,1.71579,0.44802414,0.457511,110,37.08,14.16,99,47.86,55,5.45,96.36,68.18,51.82,19.09,10.91,10,0,0.91,0,0,8.18,10.91,2.73,0,14.55,9.09,7.27,0.91,1.82,23.64,2.73,2.73,0,0,0,0,11.82,4.55,7.27,2.73,0.91,0.91,0,0,1.82,0,1.82,1.82,0,0,0,0,0,0,0,0,11.82,5.45,1.82,2.73,0,0,1.82,7.27,5.45,0,0.91,0,0,0,0,0,2.73,0,0,0.91,0.91,0.91,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,20,15.45,0.91,8.18,7.27,0.91,0,0,17.27,1.82,8.18,1.82,1.82,0,0.91,0.91,0,22.73,5.45,9.09,0,0,8.18,0,0
All Get Out,All Get Out,06 Wasting All My Breath,-7.39303779602,0.0220327749848,0.469584971666,0.551808893681,122.083404541,0.0288378428668,0.949607849121,434.193115234,13.012773200000002,12.5063712,1.1083079200000001,0.021178869,1.9586658,0.5505143699999999,1.4207557,0.27645397,1.57473883,0.38887373000000003,0.4729743,199,4.69,98.15,25.98,1.73,28.43,6.03,90.95,76.38,61.81,26.13,15.58,5.03,1.01,8.04,1.51,0,10.55,13.57,5.53,0,11.06,10.55,10.05,8.04,0.5,19.1,6.53,4.02,5.03,3.02,0,2.01,11.06,3.52,7.54,2.01,4.02,0.5,1.51,0,0.5,0,6.03,1.51,4.52,1.01,0,1.01,0,0.5,0.5,0,19.6,6.53,2.01,0,0,3.52,2.01,12.56,1.51,0,3.02,0,0,0,0,0,2.01,0,0,0,0.5,1.51,3.02,0.5,0,0,0,0.5,0,0,1.01,0,0,4.52,0,0,0,0,0,0,7.54,8.04,0,1.01,5.53,0.5,0,1.01,2.51,3.02,4.52,2.01,1.51,1.51,0,0,0,12.56,0,2.01,3.02,0,6.53,1.01,0
All Get Out,All Get Out,"07 Three More, I Guess",-9.19512557983,0.0174721889198,0.414752691984,0.574921131134,117.783920288,0.0218912903219,0.843913197517,437.718536377,11.7030747,11.4145738,0.24404001,0.014265989,1.9855705000000001,0.057170362,1.04084173,0.60899865,1.4637828499999999,0.38302566,0.4402723,182,85.25,36.91,93.28,85.37,182,7.69,95.05,81.87,64.84,13.74,6.04,2.75,0.55,1.65,0,1.1,7.69,30.77,7.69,5.49,17.58,4.4,2.75,5.49,1.65,11.54,9.34,20.33,1.1,0.55,0,0.55,13.19,7.14,6.04,2.2,0.55,0.55,1.1,0,2.75,0,4.4,4.4,0,2.2,2.2,0,0,0,0,0,8.24,3.85,0,1.1,0,0.55,1.65,4.4,0,0,0,0,0,0,0,0,2.75,0.55,0,0,0,2.2,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,14.29,0,2.75,8.79,1.65,1.1,0.55,7.69,1.65,4.95,0,0,0,0,0,0,4.4,0,2.2,0,0,2.2,0,0
All Get Out,Movement,All My Friends Are Dead,-6.95055341721,0.0296044964343,0.476844757795,0.583352267742,139.936050415,0.0395694114268,1.10637116432,434.193115234,13.2222693,12.278014299999999,1.2721687,0.00770082,1.96149614,0.55043513,1.7240964,0.0604044,1.89744196,0.266467174,0.44023708,263,16.02,14.61,92.96,25.12,131.5,10.65,92.4,70.72,53.99,21.29,17.87,13.69,1.52,1.14,0.38,1.14,3.42,15.59,5.32,0,10.65,12.93,6.08,3.8,1.52,23.95,5.32,4.18,10.65,4.56,3.04,2.66,10.65,3.8,6.84,1.52,1.52,2.28,0.76,0,1.52,0,4.94,2.66,2.28,0.76,0.38,0,0,0,0,0,13.69,5.7,0,0,1.9,0.38,1.52,8.75,2.28,1.14,0.76,0.76,0,0,0,0,6.08,0.38,0.38,2.66,1.14,1.52,6.08,0.76,0.38,0,0,0,0.38,0,3.42,0,1.14,3.04,0,0.38,0,0.38,0,0.38,7.98,7.6,0,3.04,3.04,1.14,0,0.38,6.08,7.6,7.22,1.52,1.14,0.76,0,0.38,0,11.79,1.14,1.9,0,0,7.98,0.76,0
All Get Out,Movement,Balance,-7.0592622757,0.0303860604763,0.47780624032,0.566528379917,138.129379272,0.0394672565162,1.18331313133,434.193115234,13.426995300000002,12.3280372,1.27244025,0.017975505,1.9222109600000001,0.48438338999999997,1.7413271,0.09485758100000001,1.86823874,0.364367358,0.4658877,181,12.88,30.82,99,35.94,181,8.29,93.92,77.35,51.93,19.34,15.47,8.29,0,7.18,0,0,3.87,11.05,3.87,0,8.84,9.94,5.52,2.76,6.63,28.18,4.42,4.42,4.97,0.55,0,4.42,13.26,1.1,12.15,3.87,1.66,2.76,1.1,0,3.31,0,9.39,4.97,3.87,4.42,1.66,2.76,0,0,0,0.55,11.6,2.21,0,0,0,0,0,9.94,0,0.55,0,0,0,0,0,0,3.31,0,2.21,0,0,1.1,2.76,0,0,0,0,0,0,0.55,0,0.55,2.76,0.55,0.55,0,0,0,0,0,16.57,16.02,0.55,6.08,9.94,0.55,0.55,2.21,3.87,0.55,11.05,0.55,0,0,0,0,0,15.47,0,5.52,0,0,9.94,0,0
All Get Out,Movement,Movement,-6.51854801178,0.0331290438771,0.478147923946,0.568705260754,144.954589844,0.0403367429972,1.30302810669,434.193115234,13.8941248,12.7594317,1.3685033,0.019060868,1.9402878000000001,0.873376,1.72785494,0.062236736,1.89417738,0.37613903000000004,0.4475954,341,11.71,8.77,99,11.31,341,10.26,95.01,76.54,61.88,25.22,15.54,9.68,0.29,4.99,0,0.59,9.68,14.37,4.99,0.29,11.73,11.14,4.11,2.64,5.87,21.99,3.81,4.11,3.23,0.88,0.88,1.47,19.65,4.99,14.66,5.87,2.35,2.05,0.59,0.29,3.81,0.29,3.52,1.17,2.05,2.64,0.59,2.05,0.59,0.59,0.59,0.29,11.44,4.4,0.29,0,0,0.59,2.64,7.04,0,0,0,1.17,0,0,0,0,1.17,0,0,0.29,0.29,0.59,4.99,0.88,0,0,0,0,0.29,0,0.29,0,0.29,0.59,0,0,0,0.29,0,0,12.32,12.02,0,4.4,6.45,1.47,0,0.59,3.23,9.38,3.52,0.88,0.59,0,0,0.59,0,10.56,0,4.4,0,0,6.16,0,0
